title,description,price,count
Some Stuff20,Some description Stuff20,245,5
Some Stuff21,Some description Stuff21,752,24
Some Stuff22,Some description Stuff22,785,2
Some Stuff23,Some description Stuff23,785,54
Some Stuff24,Some description Stuff24,587,45
Some Stuff25,Some description Stuff25,578,47
Some Stuff26,Some description Stuff26,236,63
Some Stuff27,Some description Stuff27,452,53
Some Stuff28,Some description Stuff28,765,22
Some Stuff29,Some description Stuff29,436,53
Some Stuff30,Some description Stuff30,345,45
